	SRR1204622	SRR1204623	SRR1204624	SRR1204625	SRR1204626	SRR1204627	SRR1204628	SRR1204629	SRR1204630	SRR1204631	SRR1204632	SRR1204633	SRR1204634	SRR1204635	SRR1204636	SRR1204637	SRR1204638	SRR1204639	SRR1204640	SRR1204641	SRR1204642	SRR1204643	SRR1204644	SRR1204645	SRR1204646	SRR1204647	SRR1204648	SRR1204649	SRR1204650	SRR1204651
Acinetobacter pittii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	2	0	0
Actinobacillus pleuropneumoniae	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus urinae	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0
Aeromonas hydrophila	0	0	0	0	11	0	0	118	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	35	0
Aeromonas salmonicida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Aggregatibacter aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium fabrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Agrobacterium vitis	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliivibrio fischeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Anabaena cylindrica	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	4	0	0	0	0	0
Anaerococcus prevotii	0	779	0	0	45	0	0	0	0	0	1	0	0	0	0	0	0	0	401	0	0	0	169	0	1528	0	0	0	23	0
Anoxybacillus flavithermus	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium haemolyticum	0	6	0	17	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	4	0	1	0	23	0	3
Atopobium parvulum	59	0	21	20	2	0	106	0	148	47	0	11	46	0	33	97	0	9	0	25	0	310	33	71	0	157	5	264	0	156
Bacillus coagulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Bacillus megaterium	0	33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus pseudofirmus	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteroides fragilis	0	0	1	2	0	0	0	0	0	0	0	3	0	0	4	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0
Bacteroides salanitronis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0	0	1	0	0	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergia cavernae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Bibersteinia trehalosi	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
Bifidobacterium asteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bifidobacterium dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
Bifidobacterium longum	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastococcus saxobsidens	0	0	0	0	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella bronchiseptica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella pertussis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium faecium	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	0	0	0	0
Bradyrhizobium japonicum	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	7	0	0	0
Burkholderia cenocepacia	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	0
Burkholderia multivorans	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Campylobacter concisus	42	0	0	77	0	2	60	0	59	2	0	0	32	0	35	19	0	18	0	67	1	221	0	16	0	15	6	96	0	40
Campylobacter fetus	0	0	12	0	1	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
Campylobacter hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Campylobacter jejuni	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	0	0	0	0	0
Capnocytophaga ochracea	0	0	4	0	4	0	6	0	4	0	0	0	0	0	1	22	1	0	0	50	0	15	0	0	0	1	0	90	5	114
Caulobacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	69	0	0	0	0	0	0	0	5	0
Caulobacter vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	10	0
Chromohalobacter salexigens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Chroococcidiopsis thermalis	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides difficile	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	16	0
Clostridium ljungdahlii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Clostridium saccharoperbutylacetonicum	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Corynebacterium aurimucosum	0	3	0	0	247	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	0
Corynebacterium callunae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Corynebacterium efficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Corynebacterium glutamicum	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0
Corynebacterium jeikeium	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium pseudotuberculosis	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium ulcerans	0	0	2	0	0	0	0	0	0	0	41	0	0	0	0	0	1939	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium urealyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	0	26	0
Corynebacterium variabile	0	87	0	0	477	0	6	0	4	0	25	0	0	0	0	0	199	0	18	0	2348	8	186	16	2193	10	4697	0	1024	9
Crinalium epipsammum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
Cryptobacterium curtum	0	0	0	0	0	0	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium acnes	13	427	0	85	3209	0	119	210	21	0	8	2	15	381	73	13	138	22	1491	31	17374	143	4300	0	1675	39	1864	556	10714	54
Cutibacterium avidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
Cyanobacterium aponinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
Deinococcus deserti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Deinococcus geothermalis	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus gobiensis	0	18	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	2	0	0	0	0	0
Deinococcus proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	0	0	0	0
Deinococcus radiodurans	0	9	0	0	25	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia acidovorans	0	0	0	0	5	0	0	4	8	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	65	0
Desulfovibrio desulfuricans	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter asburiae	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Enterococcus faecalis	0	0	159	0	62	55	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Enterococcus faecium	0	0	9	0	0	4	0	0	0	0	0	10	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	2	4	0
Erwinia amylovora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Erwinia billingiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
Erythrobacter litoralis	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Escherichia coli	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0	0	0	0
Exiguobacterium sibiricum	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium prausnitzii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Filifactor alocis	0	0	0	0	0	0	0	0	2	5	0	1	0	0	0	2	0	0	0	2	16	86	0	0	1	0	0	7	0	30
Finegoldia magna	0	108	0	0	0	0	0	7	0	0	0	0	0	11	0	0	0	0	0	0	28	2	58	0	514	0	1	0	0	0
Flavobacterium columnare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	3
Fusobacterium nucleatum	0	0	36	1345	61	97	265	8	695	24	1	274	74	0	354	123	10	64	26	6326	243	2909	16	33	7	131	33	422	0	1341
Gardnerella vaginalis	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus thermodenitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Glaesserella parasuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter arilaitensis	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0
Gottschalkia acidurici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	150	0	0	0	0	0
Haemophilus influenzae	296	37	503	0	0	0	0	0	0	78	0	375	1	0	0	181	19	153	0	19	0	29	0	12	0	0	7	0	0	53
Haemophilus parainfluenzae	913	17	2690	285	188	55	19	25	30	162	51	33	145	0	72	385	49	57	49	178	97	29	112	80	70	19	106	193	77	731
Halothiobacillus neapolitanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Herbaspirillum seropedicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Isoptericola variabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	35	0
Jonesia denitrificans	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	18	1	0
Klebsiella aerogenes	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella pneumoniae	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	39	0	12
Kocuria rhizophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0
Lachnoclostridium phytofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Lactobacillus acidophilus	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus amylovorus	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus delbrueckii	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus fermentum	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24	0	0
Lactobacillus gasseri	0	0	0	0	0	0	14	0	36	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0
Lactobacillus reuteri	0	0	0	0	1	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0
Lactobacillus salivarius	0	0	0	0	0	0	2	0	45	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	59	0	0
Lactococcus lactis	0	0	0	0	11	0	13	0	14	0	0	0	0	0	0	0	0	0	0	0	41	18	0	0	0	0	0	4	28	0
Leptotrichia buccalis	0	0	50	13	4	4	1234	12	145	33	0	7	202	0	482	53	1	3	0	52	0	139	0	74	2	198	0	47	0	177
Leuconostoc kimchii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Leuconostoc mesenteroides	0	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria ivanovii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lysinibacillus sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Macrococcus caseolyticus	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mageeibacillus indolicus	0	0	0	1	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetococcus marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Marinomonas posidonica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
Megasphaera elsdenii	0	0	1	0	0	0	5	0	57	0	0	0	0	0	2	10	0	0	0	4	0	138	0	0	9	2	0	0	0	37
Mesorhizobium ciceri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Mesorhizobium japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0
Methylibium petroleiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
Methylobacterium radiotolerans	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0	67	0	114	0	84	0	18	0	0	0
Methylocella silvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Methylomonas methanica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	4	0	6
Methylorubrum extorquens	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	31	0	0	0	0	0
Methylorubrum populi	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium testaceum	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	1	0	15	0	3	0	0	0	0	0
Micrococcus luteus	0	235	0	0	118	0	0	157	0	0	0	0	0	0	0	0	48	0	0	0	1293	0	0	0	0	0	25	0	392	0
Microlunatus phosphovorus	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	12	0	3	0	0	0	0	0
Mobiluncus curtisii	0	0	32	708	0	12	259	0	65	47	0	5	833	0	146	0	0	10	3	42	0	251	0	125	0	67	0	691	12	72
Moraxella catarrhalis	0	0	72	3	0	38	12	7	27	529	12748	363	15	0	10	1985	6948	88	18	0	35	0	7	0	0	0	20	0	0	0
Mycobacterium canettii	2	0	4	50	0	0	100	0	0	13	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium tuberculosis	7	27	8	186	6	0	1283	7	0	32	0	0	232	0	0	31	0	0	90	0	395	0	0	0	0	0	0	0	0	0
Mycolicibacterium gilvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Mycoplasma arthritidis	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	13	0	0	0	0	0	3	0	0
Nakamurella multipartita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Neisseria lactamica	0	14	2	0	0	0	4	1	15	84	0	0	15	0	3	0	0	0	69	26	0	0	0	0	0	4	19	13	0	0
Neisseria meningitidis	1186	0	1076	17	0	0	0	0	0	0	0	49	0	0	0	646	48	0	7	0	0	50	0	0	276	0	0	0	55	179
Niastella koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Nitrobacter hamburgensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
Nocardia farcinica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Nocardiopsis alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Olsenella uli	1	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Oscillibacter valericigenes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibacter propionicigenes	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0
Pantoea ananatis	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea vagans	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	4	0	0	0
Paraburkholderia phymatum	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	54	0	6	0	0	0	30	0	24
Pectobacterium carotovorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Pedobacter heparinus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pelobacter carbinolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Phenylobacterium zucineum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Porphyromonas gingivalis	0	0	971	34	4	371	8	0	13	46	0	15	11	0	356	77	4	483	60	497	43	247	0	8	0	24	0	78	0	79
Prevotella dentalis	0	0	0	0	0	0	12	0	14	8	0	0	0	0	5	6	0	0	0	3	0	2	0	0	0	0	0	5	0	0
Prevotella denticola	0	0	0	0	0	0	269	0	674	9	0	2	0	0	2	47	2	4	0	0	0	6290	0	0	1	0	0	0	0	5
Prevotella intermedia	10	0	3	9	0	0	9	0	2	23	0	109	8	0	49	26	0	4	0	35	11	214	0	3	0	13	0	6	5	32
Prevotella melaninogenica	2207	16	283	1275	57	88	2693	44	1038	528	2	91	1299	0	4835	1206	2	967	39	2432	66	1799	20	1441	150	7078	154	3887	21	2819
Prevotella ruminicola	0	0	4	0	0	0	0	0	4	0	0	1	0	0	17	0	0	0	0	0	0	3	0	1	0	12	0	0	0	12
Pseudarthrobacter chlorophenolicus	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	2	1	13	0	0	0	0	0
Pseudarthrobacter phenanthrenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	4
Pseudoalteromonas haloplanktis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	210	0
Pseudomonas fluorescens	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas mendocina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	0	4	62	0
Pseudomonas poae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas putida	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
Pseudomonas stutzeri	0	58	0	0	50	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	8	0	2	0	0	0
Pseudonocardia dioxanivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
Pseudopedobacter saltans	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudopropionibacterium propionicum	0	9	0	4	0	0	13	3	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas suwonensis	0	18	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Ralstonia pickettii	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	89	0
Ralstonia solanacearum	0	30	0	0	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0
Ramlibacter tataouinensis	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
